reporting_airport,airport_id,iata_code
ABERDEEN,1,ABZ
BELFAST CITY (GEORGE BEST),2,BHD
BELFAST INTERNATIONAL,3,BFS
BIRMINGHAM,4,BHX
BOURNEMOUTH,5,BOH
BRISTOL,6,BRS
CARDIFF WALES,7,CWL
DONCASTER SHEFFIELD,8,
EAST MIDLANDS INTERNATIONAL,9,POM
EDINBURGH,10,EDI
EXETER,11,EXT
GLASGOW,12,GLA
ISLE OF MAN,13,IOM
JERSEY,14,JER
LEEDS BRADFORD,15,LBA
LIVERPOOL (JOHN LENNON),16,LPL
GATWICK,17,LGW
HEATHROW,18,LHR
LONDON CITY,19,LCY
LUTON,20,LTN
STANSTED,21,STN
MANCHESTER,22,MAN
NEWCASTLE,23,NCL
SOUTHAMPTON,24,SOU
SOUTHEND,25,SEN
TEESSIDE INTERNATIONAL AIRPORT,26,MME
